? image,timestamp,context,source,width,height,blockSize,discardBits,smooth,psnr,ssim,rawSize,compressedSize,nodalSize,qoiSize,jpegSize,pngSize,webpSize,customEncodeMs,customDecodeMs,jpegEncodeMs,jpegDecodeMs,pngEncodeMs,pngDecodeMs,webpEncodeMs,webpDecodeMs
1,2025-12-08T12:07:29.257Z,batch,image,3024,4032,8,2,FALSE,26.701839186802182,0.9778330759006587,36578304,743356,130487,612837,1032725,13357932,984814,3238.032800000001,2190.9023000000016,279.9699000000037,155.25069999999687,1441.0010000000038,246.8237999999983,1875.1776000000027,400.19800000000396
2,2025-12-08T12:07:33.418Z,batch,image,2701,1801,8,2,FALSE,30.283382752199785,0.9926743622095173,14593503,355053,65729,289292,399282,6325349,354188,1093.1874000000025,780.5692999999956,192.67350000000442,164.70379999999568,1197.635500000004,139.7696999999971,1151.8674000000028,232.8770000000004
3,2025-12-08T12:08:02.862Z,batch,image,6720,4480,8,2,FALSE,24.55396890217291,0.9685709946696098,90316800,2426255,389426,2036797,5615785,62951899,6439126,5648.3880999999965,2656.3675999999978,853.8334000000032,425.2983000000022,5622.895199999999,818.0364999999947,17236.695,827.3338999999978
4,2025-12-08T12:08:20.034Z,batch,image,5008,6260,8,2,FALSE,23.813939568155988,0.9245877731348745,94050240,2834944,524356,2310556,4756396,64674898,4965150,3229.3285999999935,2591.1412999999884,685.2013000000006,315.3329999999987,3718.499499999991,662.3510999999999,7476.353900000002,763.4700999999914
5,2025-12-08T12:08:30.641Z,batch,image,3748,5622,8,2,FALSE,30.07497462367954,0.9929253430154951,63213768,1493011,267617,1225362,2741671,42247324,3257064,2449.333099999989,1755.5285000000003,447.9472999999998,221.90039999999863,2633.198900000003,454.17549999999756,3301.8814999999886,551.4036000000051
6,2025-12-08T12:08:54.955Z,batch,image,4672,6541,8,2,FALSE,17.311478956329154,0.869460419,91678656,2805750,578530,2227188,7405000,76853220,8205558,3159.7786999999953,2691.106899999999,668.9135000000097,330.7506999999896,4235.3562999999995,694.5014000000083,14194.363899999997,878.0246999999945
7,2025-12-08T12:09:06.804Z,batch,image,4024,6048,8,2,FALSE,25.111273336302396,0.9841261268541375,73011456,1829783,326349,1503402,3508943,41945223,3711576,2790.928,2162.836899999995,533.4330999999947,251.95190000001458,2803.4189000000188,400.49240000001737,3527.8271999999997,620.3603000000003
8,2025-12-08T12:09:12.040Z,batch,image,2394,3600,8,2,FALSE,21.359435400226104,0.8652216708052829,25855200,546379,113518,432829,1101625,12222163,929174,1510.7699999999895,1167.8540999999968,169.14979999998468,81.44700000001467,1052.637699999992,149.44800000000396,1167.0570000000007,246.9996000000101
9,2025-12-08T12:09:44.507Z,batch,image,6144,8160,8,2,FALSE,25.454586350368853,0.8707915421794977,150405120,3285270,594929,2690309,5680275,69392714,6180326,5446.280799999979,2054.218200000003,1079.4234999999753,547.1865999999864,5752.220100000006,863.3056999999972,19744.30309999999,1193.368300000002
10,2025-12-08T12:09:58.836Z,batch,image,5149,6101,8,2,FALSE,29.03106312198807,0.9903793460764309,94242147,1770235,301391,1468812,4684029,47680581,5506612,4000.386200000008,1279.1756999999925,638.7821000000113,325.4994000000006,3378.567299999995,748.9211000000068,4944.536499999987,786.9262999999919
11,2025-12-08T12:10:29.546Z,batch,image,5462,8192,8,2,FALSE,20.68383320212147,0.9329996374577614,134234112,3317222,589790,2727400,8387153,82670369,9575142,4287.413700000005,1839.8728999999876,938.1272999999928,417.31459999998333,5336.936500000011,809.3849999999802,18823.193300000014,1228.492499999993
12,2025-12-08T12:10:34.934Z,batch,image,2941,4160,8,2,FALSE,36.622990710635705,0.9997002107333296,36703680,503395,86028,417335,480534,6605984,352758,1777.536300000007,497.30340000000433,240.36599999997998,103.53270000001066,835.7942000000039,122.40800000002491,1336.8121999999858,249.04300000000512
13,2025-12-08T12:10:42.576Z,batch,image,3501,5251,8,2,FALSE,25.77429200135489,0.9602548686355633,55151253,1156601,196265,960304,2360613,26835233,2437310,2215.131699999998,745.2463,370.1466000000073,165.5344000000041,1900.076000000001,301.47280000001774,2501.7496,457.10370000000694
14,2025-12-08T12:10:52.742Z,batch,image,4000,6000,8,2,FALSE,32.33137999751095,0.9976326457216459,72000000,1006566,148250,858284,1613910,20287736,1444542,3319.505999999994,962.1843999999983,481.5991999999969,233.60010000001057,2790.2682000000204,316.51559999998426,3095.3697,563.9462999999814
15,2025-12-08T12:11:12.066Z,batch,image,7549,5035,8,2,FALSE,30.967728735911187,0.9932727712448073,114027645,2409626,420147,1989447,3363961,50757969,3463610,8152.484599999996,1567.1108999999997,858.7507000000041,412.8501999999862,3937.839500000002,627.0412999999826,5115.906400000007,908.6530999999959
16,2025-12-08T12:11:22.511Z,batch,image,4000,6000,8,2,FALSE,27.11842104538826,0.9877963177248876,72000000,2184058,401951,1782075,3108664,53872833,2887916,2810.1681,996.1092000000062,491.39710000000196,225.86680000001797,3002.7314999999944,520.6995999999926,3421.2187999999733,629.1063999999897
17,2025-12-08T12:11:35.851Z,batch,image,4672,7008,8,2,FALSE,30.400696920412003,0.9809902544074707,98224128,2250453,371266,1879155,3422180,45291861,3509960,3312.754799999995,1383.1242000000202,697.6826000000001,301.0034999999916,3774.270499999984,621.7408000000287,4700.646000000008,702.2030000000377
18,2025-12-08T12:11:44.890Z,batch,image,3880,5886,8,2,FALSE,34.018558305489115,0.9958001841714491,68513040,866042,137281,728729,783456,9283449,647516,3226.4430000000284,915.7006000000401,428.8114999999525,221.4981999999727,1366.6468999999925,174.47630000003846,2335.9351000000024,481.3066000000108
19,2025-12-08T12:11:49.275Z,batch,image,2433,3637,8,2,FALSE,27.474054507574536,0.9904626013633525,26546463,591740,113182,478526,1087108,15277746,1107646,1449.6644000000088,382.90850000001956,183.21549999999115,75.59229999996023,1043.955799999996,189.08480000001146,1292.9764999999898,243.91320000000997
20,2025-12-08T12:11:58.530Z,batch,image,4000,6000,8,2,FALSE,33.541004967681836,0.9942577714621894,72000000,1182470,209630,972808,1077173,16082957,842572,2657.4629000000423,966.9695000000065,492.21749999996973,216.14939999999478,1874.2135999999591,265.0369000000064,2847.044600000023,528.7654999999795
21,2025-12-08T12:12:24.606Z,batch,image,5152,7728,8,2,FALSE,29.72057205750064,0.9894923476766381,119443968,3100726,552288,2548406,3652429,70398970,3528942,4658.228600000031,1666.344299999997,811.7682999999961,392.2008999999962,4365.768999999971,812.9880000000121,15113.188900000008,960.0986999999732
22,2025-12-08T12:12:35.149Z,batch,image,4000,6000,8,2,FALSE,24.26123497682127,0.9617517489616818,72000000,2160400,412328,1748040,3005845,45693940,2918240,2846.447199999995,1027.2644999999902,485.1521000000066,221.36940000002505,2974.853000000003,508.81969999999274,3403.2075000000186,612.4032000000007
23,2025-12-08T12:12:45.399Z,batch,image,4840,4016,8,2,FALSE,27.397544668314197,0.9812706382969576,58312320,1235005,173694,1061279,4158982,45770060,6154270,2354.184200000018,828.6091000000015,491.92800000001444,233.24379999999655,3266.537000000011,481.41499999997905,3971.658700000029,739.5762000000104
24,2025-12-08T12:12:54.615Z,batch,image,3512,6240,8,2,FALSE,28.336701699261493,0.9879508695393484,65744640,1353191,249989,1103170,1997751,30499453,1845960,2352.470099999977,872.8311000000103,424.9853000000003,201.95029999996768,2110.9074000000255,395.1177000000025,2898.3199000000022,500.18839999998454
25,2025-12-08T12:13:00.966Z,batch,image,3024,4032,8,2,FALSE,26.361895736049643,0.975219365,36578304,948416,176560,771824,1877927,25297949,2000450,1802.6935999999987,515.7345000000205,243.76150000002235,103.48099999997066,1515.6572999999626,276.8591000000015,1825.9272999999812,335.7196999999578
26,2025-12-08T12:13:10.137Z,batch,image,3918,5877,8,2,FALSE,31.58599860057517,0.9938022998518952,69078258,1210370,170027,1040311,2453566,23873265,2225168,2375.391900000046,902.8108999999822,411.5529000000097,197.10430000000633,2979.6814000000013,378.5863000000245,3054.9713999999803,558.7719999999972
27,2025-12-08T12:13:15.453Z,batch,image,2848,4288,8,2,FALSE,27.503033781194954,0.9857608466260677,36636672,728190,151250,576908,1258942,15869403,1190944,1533.6921999999904,487.69960000005085,213.39520000002813,89.25310000003083,1094.528099999996,190.7764999999781,1483.031799999997,281.2366000000038
28,2025-12-08T12:13:20.355Z,batch,image,3928,2619,8,2,FALSE,21.748864822684546,0.9015475666204679,30862296,1087318,207021,880265,2444545,27305421,2692640,1284.2123000000138,421.1181000000215,218.19920000003185,88.49900000001071,1368.3150000000023,248.8286,1701.0816999999806,307.7127000000328
29,2025-12-08T12:13:30.006Z,batch,image,4000,6000,8,2,FALSE,25.070113248281455,0.9769259113143864,72000000,1649806,312323,1337451,3194659,39844990,3146454,2412.938599999994,953.7244000000064,464.5590999999549,214.0736999999499,3181.543900000048,503.0936,3378.8710999999894,579.5535999999847
30,2025-12-08T12:13:38.664Z,batch,image,5199,4160,8,2,FALSE,33.48821035529515,0.9959702571535979,64883520,1196838,202240,994566,1882300,30739967,1966460,2291.0708999999915,882.5779,416.5469999999623,186.06400000001304,1981.7297000000253,394.9800000000396,2820.1101999999955,440.90730000002077
31,2025-12-08T12:13:45.781Z,batch,image,3331,4998,8,2,FALSE,24.049673515785834,0.9775413555707488,49945014,1170303,184713,985558,2652906,27712265,2777922,1783.1179999999586,663.2632999999914,331.65990000002785,140.41480000002775,1819.4673000000184,290.04709999996703,2404.480500000005,431.03509999997914
32,2025-12-08T12:14:03.230Z,batch,image,4480,6720,8,2,FALSE,25.611259000534847,0.9789771484553508,90316800,1499722,202702,1296988,7251442,52812152,10449762,3633.8126000000047,1194.1322999999975,635.3899000000092,281.0185000000056,3746.752199999988,571.5646999999881,8684.392999999982,1008.8334000000032
33,2025-12-08T12:14:12.426Z,batch,image,4160,6240,8,2,FALSE,35.46833950252712,0.9986177208277014,77875200,1037171,159755,877384,842533,12792332,870162,2558.167699999991,1021.1142000000109,458.0952999999863,207.13819999998668,1550.7614000000176,222.3689000000013,2702.1247999999905,521.0140999999712
34,2025-12-08T12:14:24.799Z,batch,image,4665,6994,8,2,FALSE,26.591484878155754,0.9903451966882482,97881030,2381242,437914,1943296,4007017,56638581,4095876,3081.3314000000246,1338.8099000000511,619.9047000000137,256.634,3167.896599999978,549.0378999999957,4296.321200000006,718.3971
35,2025-12-08T12:14:31.541Z,batch,image,3324,4986,8,2,FALSE,24.71080362481164,0.9686795745357943,49720392,1174373,226535,947806,1854616,23478386,1832932,1761.741399999999,677.8118999999715,304.04470000002766,127.23530000000028,1413.618599999987,254.06499999994412,2117.401599999983,381.5668000000296
36,2025-12-08T12:14:38.885Z,batch,image,3360,5159,8,2,FALSE,23.180191083714078,0.9701748479612154,52002720,1358890,260115,1098743,2806213,33624016,2728014,1744.9829000000027,736.0340999999898,344.0786,142.42330000002403,1990.9305999999633,345.4349999999977,2552.4146000000183,433.94760000001406
37,2025-12-08T12:14:46.619Z,batch,image,3648,4560,8,2,FALSE,27.469257221225924,0.9869610057671119,49904640,868648,138044,730572,2381799,22551227,2683950,2442.3618000000133,649.4859999999753,306.3086000000476,147.00860000000102,1938.7787000000244,279.79629999998724,2363.341300000029,387.46689999999944
38,2025-12-08T12:14:51.858Z,batch,image,3024,4032,8,2,FALSE,28.66121520441896,0.9916195691089243,36578304,642468,100813,541623,1392354,14627885,1455904,1494.1855000000214,483.03059999999823,218.75889999995707,98.59250000002794,1152.7404000000097,192.11690000002272,1618.9954999999609,298.00089999998454
39,2025-12-08T12:14:55.993Z,batch,image,3482,2321,8,2,FALSE,29.34108775642761,0.9909029806423807,24245166,697765,121336,576397,1051009,18243187,1034204,1342.4013000000268,341.5037000000011,175.1020000000135,71.18009999999776,1185.1636999999755,207.4553999999771,1266.1615999999922,222.52679999999236
40,2025-12-08T12:15:15.381Z,batch,image,4479,6719,8,2,FALSE,25.347996138753675,0.9730979289569924,90283203,1958051,347235,1610784,4175824,52326418,3992090,6119.029599999951,1352.8407000000007,869.6455999999889,422.8375000000233,4564.992599999998,450.91090000001714,7886.747900000017,702.8074999999953
41,2025-12-08T12:15:36.983Z,batch,image,4480,6720,8,2,FALSE,26.65017608,0.9446774184898332,90316800,2454527,405362,2049133,5693387,68223918,5980248,2169.6720000000205,1650.1264,461.93329999997513,312.56299999996554,3449.1573000000208,581.7694999999949,13935.278299999947,715.8686999999918
42,2025-12-08T12:15:49.233Z,batch,image,6016,4014,8,2,FALSE,29.056715923961004,0.9882126505101783,72444672,2087351,370203,1717116,2888244,50087497,2838566,3018.7351999999955,1245.8438000000315,686.3013000000501,332.8551999999909,4976.937900000019,855.0575999999419,4285.185599999968,993.8898000000045
43,2025-12-08T12:16:13.463Z,batch,image,7000,4667,8,2,FALSE,24.91124817519404,0.9622266137085981,98007000,2388991,384133,2004826,4787624,56423309,4908326,6835.318500000052,1540.1753000000026,1038.3320999999996,542.3795000000391,7034.764199999976,840.2931999999564,10677.287899999996,1176.9899999999907
44,2025-12-08T12:16:27.949Z,batch,image,3768,5652,8,2,FALSE,24.760811261223672,0.9815504707525178,63890208,1330205,182448,1147725,5360397,35416348,6478258,4105.1267000000225,1010.1947999999393,611.5006000000285,293.1202999999514,5482.007499999949,782.1448999999557,4816.175500000012,1187.124599999981
45,2025-12-08T12:16:40.166Z,batch,image,5472,3648,8,2,FALSE,25.46835294,0.9855570906028923,59885568,1235975,201668,1034275,2527449,28148603,2610442,4555.0972,981.1816000000108,507.9414000000106,238.16419999999925,2843.5598,459.84699999995064,3382.764199999976,713.0544999999693
